name,score,type,episodes,ranking,duration,PG_13,R,PG,R_plus,G,manga,book,music,game,other,original
Cowboy Bebop,8.78,TV,26,28,24,0,1,0,0,0,0,0,0,0,0,1
Trigun,8.24,TV,26,266,24,1,0,0,0,0,1,0,0,0,0,0
Witch Hunter Robin,7.27,TV,26,2481,25,1,0,0,0,0,0,0,0,0,0,1
Bouken Ou Beet,6.98,TV,52,3710,23,0,0,1,0,0,1,0,0,0,0,0
Eyeshield 21,7.95,TV,145,604,23,1,0,0,0,0,1,0,0,0,0,0
Hachimitsu to Clover,8.06,TV,24,468,23,1,0,0,0,0,1,0,0,0,0,0
Hungry Heart: Wild Striker,7.59,TV,52,1317,23,1,0,0,0,0,1,0,0,0,0,0
Initial D Fourth Stage,8.15,TV,24,360,27,1,0,0,0,0,1,0,0,0,0,0
Monster,8.76,TV,74,30,24,0,0,0,1,0,1,0,0,0,0,0
Naruto,7.91,TV,220,660,23,1,0,0,0,0,1,0,0,0,0,0
One Piece,8.52,TV,NA,95,24,1,0,0,0,0,1,0,0,0,0,0
Tennis no Ouji-sama,7.9,TV,178,675,22,1,0,0,0,0,1,0,0,0,0,0
Ring ni Kakero 1,6.38,TV,12,6493,25,0,0,1,0,0,1,0,0,0,0,0
School Rumble,7.94,TV,26,625,23,1,0,0,0,0,1,0,0,0,0,0
Sunabouzu,7.42,TV,24,1844,24,0,1,0,0,0,1,0,0,0,0,0
Texhnolyze,7.76,TV,22,896,23,0,0,0,1,0,0,0,0,0,0,1
Trinity Blood,7.32,TV,24,2240,24,0,1,0,0,0,0,1,0,0,0,0
Yakitate!! Japan,7.95,TV,69,609,24,1,0,0,0,0,1,0,0,0,0,0
Zipang,7.51,TV,26,1565,24,1,0,0,0,0,1,0,0,0,0,0
Neon Genesis Evangelion,8.32,TV,26,208,24,1,0,0,0,0,0,0,0,0,0,1
Kenpuu Denki Berserk,8.49,TV,25,108,25,0,0,0,1,0,1,0,0,0,0,0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,OVA,4,37,30,0,1,0,0,0,1,0,0,0,0,0
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,TV,94,220,25,1,0,0,0,0,1,0,0,0,0,0
.hack//Sign,6.98,TV,26,3687,24,1,0,0,0,0,0,0,0,0,0,1
Aa! Megami-sama!,7.32,OVA,5,2226,30,1,0,0,0,0,1,0,0,0,0,0
Aa! Megami-sama! (TV),7.35,TV,24,2116,24,1,0,0,0,0,1,0,0,0,0,0
Tenshi Kinryouku,6.31,OVA,3,6823,30,0,0,0,1,0,1,0,0,0,0,0
Kidou Tenshi Angelic Layer,7.26,TV,26,2529,24,1,0,0,0,0,1,0,0,0,0,0
Ai Yori Aoshi,7.14,TV,24,3012,23,1,0,0,0,0,1,0,0,0,0,0
Arc the Lad,6.53,TV,26,5738,22,0,1,0,0,0,0,0,0,1,0,0
Avenger,5.91,TV,13,8501,24,0,1,0,0,0,0,0,0,0,0,1
Beck,8.31,TV,26,221,25,0,1,0,0,0,1,0,0,0,0,0
Blue Gender,7.05,TV,26,3455,23,0,0,0,1,0,0,0,0,0,0,1
Chobits,7.43,TV,26,1804,24,1,0,0,0,0,1,0,0,0,0,0
Chrno Crusade,7.66,TV,24,1120,23,0,1,0,0,0,1,0,0,0,0,0
D.N.Angel,7.2,TV,26,2761,23,1,0,0,0,0,1,0,0,0,0,0
D.C.: Da Capo,6.77,TV,26,4589,24,1,0,0,0,0,0,1,0,0,0,0
DearS,6.62,TV,12,5274,23,0,0,0,1,0,1,0,0,0,0,0
Rozen Maiden,7.44,TV,12,1782,24,1,0,0,0,0,1,0,0,0,0,0
Rozen Maiden: Träumend,7.65,TV,12,1146,24,1,0,0,0,0,1,0,0,0,0,0
Azumanga Daioh,7.98,TV,26,555,24,1,0,0,0,0,1,0,0,0,0,0
Basilisk: Kouga Ninpou Chou,7.58,TV,24,1325,24,0,1,0,0,0,1,0,0,0,0,0
Black Cat (TV),7.38,TV,23,1965,24,1,0,0,0,0,1,0,0,0,0,0
Cluster Edge,6.35,TV,25,6646,24,1,0,0,0,0,0,0,0,0,0,1
Full Metal Panic!,7.65,TV,24,1146,24,0,1,0,0,0,0,1,0,0,0,0
Full Metal Panic? Fumoffu,8.07,TV,12,452,24,1,0,0,0,0,0,1,0,0,0,0
Full Metal Panic! The Second Raid,7.96,TV,13,579,24,0,1,0,0,0,0,1,0,0,0,0
Gakuen Alice,7.65,TV,26,1158,25,0,0,0,0,1,1,0,0,0,0,0
Soukyuu no Fafner: Dead Aggressor,7.3,TV,25,2348,24,1,0,0,0,0,0,0,0,0,0,1
Mahou Shoujo Lyrical Nanoha,7.42,TV,13,1828,25,1,0,0,0,0,0,0,0,0,0,1
Mahou Shoujo Lyrical Nanoha A's,7.99,TV,13,551,25,1,0,0,0,0,0,0,0,0,0,1
Shuffle!,7.09,TV,24,3231,23,0,0,0,1,0,0,1,0,0,0,0
Mobile Suit Gundam,7.78,TV,43,867,25,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam: The 08th MS Team,8.03,OVA,12,511,25,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam 0080: War in the Pocket,7.9,OVA,6,677,27,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam 0083: Stardust Memory,7.3,OVA,13,2361,30,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Zeta Gundam,7.92,TV,50,655,24,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam ZZ,6.66,TV,47,5111,24,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Victory Gundam,6.76,TV,51,4632,24,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam Wing,7.72,TV,49,984,24,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam Wing: Endless Waltz,7.76,OVA,3,897,30,1,0,0,0,0,0,0,0,0,0,1
After War Gundam X,7.32,TV,39,2228,24,1,0,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam SEED,7.79,TV,50,850,24,0,1,0,0,0,0,0,0,0,0,1
Mobile Suit Gundam SEED Destiny,7.22,TV,50,2687,24,0,1,0,0,0,0,0,0,0,0,1
Turn A Gundam,7.7,TV,50,1018,24,1,0,0,0,0,0,0,0,0,0,1
Mobile Fighter G Gundam,7.56,TV,49,1396,24,1,0,0,0,0,0,0,0,0,0,1
Last Exile,7.82,TV,26,795,24,1,0,0,0,0,0,0,0,0,0,1
Mai-HiME,7.46,TV,26,1698,23,1,0,0,0,0,0,0,0,0,0,1
Mai-Otome,7.31,TV,26,2308,24,1,0,0,0,0,0,0,0,0,0,1
Shin Shirayuki-hime Densetsu Prétear,7.2,TV,13,2785,23,1,0,0,0,0,1,0,0,0,0,0
Air,7.32,TV,12,2230,24,1,0,0,0,0,0,1,0,0,0,0
Aishiteruze Baby★★,7.48,TV,26,1634,25,1,0,0,0,0,1,0,0,0,0,0
Akazukin Chacha,7.39,TV,74,1941,24,0,0,0,0,1,1,0,0,0,0,0
Ayashi no Ceres,7.23,TV,24,2641,21,0,1,0,0,0,1,0,0,0,0,0
Boys Be...,6.46,TV,13,6088,23,1,0,0,0,0,1,0,0,0,0,0
Hana yori Dango,7.7,TV,51,1027,25,1,0,0,0,0,1,0,0,0,0,0
Ou Dorobou Jing,7.23,TV,13,2625,24,1,0,0,0,0,1,0,0,0,0,0
Ou Dorobou Jing in Seventh Heaven,7.29,OVA,3,2367,30,1,0,0,0,0,1,0,0,0,0,0
Bakuretsu Tenshi,6.81,TV,24,4381,23,1,0,0,0,0,0,0,0,0,0,1
Chuuka Ichiban!,7.63,TV,52,1195,23,1,0,0,0,0,1,0,0,0,0,0
Corrector Yui,6.83,TV,52,4318,25,0,0,1,0,0,0,0,0,0,0,1
Chou Henshin Cosprayers,4.95,TV,8,10648,14,1,0,0,0,0,0,0,0,0,0,1
Uchuu no Stellvia,7.38,TV,26,1980,23,1,0,0,0,0,0,0,0,0,0,1
Sakigake!! Cromartie Koukou,7.93,TV,26,631,12,1,0,0,0,0,1,0,0,0,0,0
El Hazard: The Alternative World,6.83,TV,13,4315,25,1,0,0,0,0,0,0,0,0,0,1
El Hazard: The Wanderers,6.97,TV,26,3735,23,1,0,0,0,0,0,0,0,0,0,1
El Hazard: The Magnificent World,7.32,OVA,7,2240,34,1,0,0,0,0,0,0,0,0,0,1
El Hazard 2: The Magnificent World,6.85,OVA,4,4239,30,1,0,0,0,0,0,0,0,0,0,1
Final Approach,6.56,TV,13,5567,14,1,0,0,0,0,0,1,0,0,0,0
Fruits Basket,7.69,TV,26,1058,24,1,0,0,0,0,1,0,0,0,0,0
Fullmetal Alchemist,8.17,TV,51,337,24,1,0,0,0,0,1,0,0,0,0,0
Full Moon wo Sagashite,7.96,TV,52,585,24,1,0,0,0,0,1,0,0,0,0,0
Fushigi Yuugi,7.64,TV,52,1172,23,1,0,0,0,0,1,0,0,0,0,0
Fushigi Yuugi: Eikouden,6.86,OVA,4,4189,30,1,0,0,0,0,1,0,0,0,0,0
Futakoi,6.49,TV,13,5946,24,1,0,0,0,0,0,0,0,0,0,1
Futakoi Alternative,6.91,TV,13,3968,24,1,0,0,0,0,0,0,0,0,0,1
Gate Keepers,6.96,TV,24,3767,25,1,0,0,0,0,0,0,0,1,0,0
Gate Keepers 21,6.79,OVA,6,4489,30,1,0,0,0,0,0,0,0,1,0,0
Gensoumaden Saiyuuki,7.59,TV,50,1315,23,0,1,0,0,0,1,0,0,0,0,0
Saiyuuki Reload,7.41,TV,25,1858,23,1,0,0,0,0,1,0,0,0,0,0
Saiyuuki Reload Gunlock,7.42,TV,26,1840,24,1,0,0,0,0,1,0,0,0,0,0
GetBackers,7.61,TV,49,1249,24,1,0,0,0,0,1,0,0,0,0,0
Green Green,6.21,TV,12,7303,24,0,0,0,1,0,0,1,0,0,0,0
Gunslinger Girl,7.42,TV,13,1821,24,0,1,0,0,0,1,0,0,0,0,0
Hikaru no Go,8.11,TV,75,400,23,1,0,0,0,0,1,0,0,0,0,0
Hunter x Hunter,8.42,TV,62,143,23,1,0,0,0,0,1,0,0,0,0,0
Hunter x Hunter: Original Video Animation,8.33,OVA,8,205,24,1,0,0,0,0,1,0,0,0,0,0
Hunter x Hunter: Greed Island,8.21,OVA,8,299,22,1,0,0,0,0,1,0,0,0,0,0
Hunter x Hunter: Greed Island Final,8.29,OVA,14,230,24,1,0,0,0,0,1,0,0,0,0,0
Jinki:Extend,6.14,TV,12,7618,23,0,1,0,0,0,1,0,0,0,0,0
Kamikaze Kaitou Jeanne,7.45,TV,44,1746,24,1,0,0,0,0,1,0,0,0,0,0
Kannazuki no Miko,6.87,TV,12,4169,24,1,0,0,0,0,1,0,0,0,0,0
Kanon,7.11,TV,13,3174,24,0,0,0,0,1,0,1,0,0,0,0
Kareshi Kanojo no Jijou,7.61,TV,26,1254,24,1,0,0,0,0,1,0,0,0,0,0
Kono Minikuku mo Utsukushii Sekai,6.76,TV,12,4625,24,0,0,0,1,0,0,0,0,0,0,1
Kimi ga Nozomu Eien,7.24,TV,14,2604,23,0,0,0,1,0,0,1,0,0,0,0
Kita e.: Diamond Dust Drops,6.62,TV,12,5305,24,1,0,0,0,0,0,1,0,0,0,0
Loveless,6.86,TV,12,4203,24,1,0,0,0,0,1,0,0,0,0,0
Blood+,7.66,TV,50,1116,24,0,1,0,0,0,0,0,0,0,0,1
Re: Cutey Honey,7.12,OVA,3,3130,46,0,0,0,1,0,1,0,0,0,0,0
Solty Rei,7.28,TV,24,2447,23,0,1,0,0,0,0,0,0,0,0,1
Juuni Kokuki,8.06,TV,45,464,25,1,0,0,0,0,0,1,0,0,0,0
Shaman King,7.78,TV,64,853,23,1,0,0,0,0,1,0,0,0,0,0
X,7.43,TV,24,1804,24,0,0,0,1,0,1,0,0,0,0,0
Mahou Sensei Negima!,6.98,TV,26,3708,23,1,0,0,0,0,1,0,0,0,0,0
Maria-sama ga Miteru,7.34,TV,13,2178,24,1,0,0,0,0,0,1,0,0,0,0
Boukyaku no Senritsu,6.34,TV,24,6657,23,1,0,0,0,0,1,0,0,0,0,0
"Ima, Soko ni Iru Boku",7.66,TV,13,1140,25,0,1,0,0,0,0,0,0,0,0,1
Peace Maker Kurogane,7.33,TV,24,2186,24,0,1,0,0,0,1,0,0,0,0,0
Pita Ten,6.94,TV,26,3863,24,0,0,0,0,1,1,0,0,0,0,0
Power Stone,6.48,TV,26,6015,20,0,0,1,0,0,0,0,0,1,0,0
RahXephon,7.42,TV,26,1820,23,1,0,0,0,0,0,0,0,0,0,1
Samurai 7,7.48,TV,26,1646,26,1,0,0,0,0,0,0,0,0,1,0
Scrapped Princess,7.41,TV,24,1861,23,1,0,0,0,0,0,1,0,0,0,0
s.CRY.ed,7.38,TV,26,1969,24,1,0,0,0,0,0,0,0,0,0,1
Shingetsutan Tsukihime,6.91,TV,12,3970,24,0,1,0,0,0,0,1,0,0,0,0
Slam Dunk,8.53,TV,101,92,23,1,0,0,0,0,1,0,0,0,0,0
Strange Dawn,6.35,TV,13,6634,23,0,0,1,0,0,0,0,0,0,0,1
Tactics,7.23,TV,25,2668,24,1,0,0,0,0,1,0,0,0,0,0
Tenjou Tenge,6.93,TV,24,3911,23,0,1,0,0,0,1,0,0,0,0,0
Tokyo Underground,6.63,TV,26,5230,25,1,0,0,0,0,1,0,0,0,0,0
Triangle Heart: Sweet Songs Forever,6.19,OVA,4,7381,28,1,0,0,0,0,0,1,0,0,0,0
Tsubasa Chronicle,7.55,TV,26,1437,25,1,0,0,0,0,1,0,0,0,0,0
Ultra Maniac,7.18,TV,26,2871,24,0,0,0,0,1,1,0,0,0,0,0
Ultra Maniac OVA,6.69,OVA,1,4978,21,0,0,0,0,1,0,0,0,0,0,0
Vandread,7.21,TV,13,2723,22,1,0,0,0,0,0,0,0,0,0,1
Vandread: The Second Stage,7.42,TV,13,1850,22,1,0,0,0,0,0,0,0,0,0,1
Tenkuu no Escaflowne,7.7,TV,26,1037,24,1,0,0,0,0,0,0,0,0,0,1
Whistle!,7.39,TV,39,1939,24,0,0,0,0,1,1,0,0,0,0,0
Xenosaga The Animation,6.37,TV,12,6577,23,1,0,0,0,0,0,0,0,1,0,0
Initial D First Stage,8.29,TV,26,231,25,1,0,0,0,0,1,0,0,0,0,0
Initial D Second Stage,8.12,TV,13,391,23,1,0,0,0,0,1,0,0,0,0,0
Love Hina,7.14,TV,24,3037,23,1,0,0,0,0,1,0,0,0,0,0
Love Hina Again,7.25,OVA,3,2581,30,1,0,0,0,0,1,0,0,0,0,0
Love Hina Christmas Special: Silent Eve,7.34,Special,1,2174,46,1,0,0,0,0,1,0,0,0,0,0
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,Special,1,2731,46,1,0,0,0,0,0,0,0,0,0,0
Maburaho,6.8,TV,24,4444,24,0,0,0,1,0,0,1,0,0,0,0
Macross Zero,7.55,OVA,5,1438,30,0,0,0,1,0,0,0,0,0,0,1
Onegai☆Teacher,7.17,TV,12,2877,23,1,0,0,0,0,0,0,0,0,0,1
Onegai☆Twins,6.88,TV,12,4123,25,1,0,0,0,0,0,0,0,0,0,1
